zone,zone_name,country_name,carbon_intensity_gCO2_kWh,fossil_free_pct,renewable_pct,source,is_estimated,timestamp
AT,AT,,232,74,84,electricity_maps_api,True,2026-03-25T19:00:00.000Z
AU-NSW,AU-NSW,,683,6,7,electricity_maps_api,True,2026-03-25T19:00:00.000Z
AU-NT,AU-NT,,389,17,1,electricity_maps_api,True,2026-03-25T19:00:00.000Z
AU-QLD,AU-QLD,,618,34,14,electricity_maps_api,True,2026-03-25T19:00:00.000Z
AU-SA,AU-SA,,300,50,44,electricity_maps_api,True,2026-03-25T19:00:00.000Z
AU-TAS,AU-TAS,,19,100,100,electricity_maps_api,True,2026-03-25T19:00:00.000Z
AU-TAS-FI,AU-TAS-FI,,18,97,74,electricity_maps_api,True,2026-03-25T19:00:00.000Z
AU-TAS-KI,AU-TAS-KI,,390,16,19,electricity_maps_api,True,2026-03-25T19:00:00.000Z
AU-VIC,AU-VIC,,521,42,32,electricity_maps_api,True,2026-03-25T19:00:00.000Z
AU-WA,AU-WA,,284,46,53,electricity_maps_api,True,2026-03-25T19:00:00.000Z
AU-WA-RI,AU-WA-RI,,314,33,30,electricity_maps_api,True,2026-03-25T19:00:00.000Z
BE,BE,,127,85,60,electricity_maps_api,True,2026-03-25T19:00:00.000Z
BR-CS,BR-CS,,83,92,88,electricity_maps_api,True,2026-03-25T19:00:00.000Z
BR-N,BR-N,,96,88,76,electricity_maps_api,True,2026-03-25T19:00:00.000Z
BR-NE,BR-NE,,48,96,87,electricity_maps_api,True,2026-03-25T19:00:00.000Z
BR-S,BR-S,,103,90,77,electricity_maps_api,True,2026-03-25T19:00:00.000Z
CA-AB,CA-AB,,349,36,25,electricity_maps_api,True,2026-03-25T19:00:00.000Z
CA-BC,CA-BC,,51,97,87,electricity_maps_api,True,2026-03-25T19:00:00.000Z
CA-MB,CA-MB,,99,86,77,electricity_maps_api,True,2026-03-25T19:00:00.000Z
CA-NB,CA-NB,,140,81,50,electricity_maps_api,True,2026-03-25T19:00:00.000Z
CA-NL,CA-NL,,21,100,100,electricity_maps_api,True,2026-03-25T19:00:00.000Z
CA-NS,CA-NS,,299,59,66,electricity_maps_api,True,2026-03-25T19:00:00.000Z
CA-NT,CA-NT,,57,91,99,electricity_maps_api,True,2026-03-25T19:00:00.000Z
CA-NU,CA-NU,,517,6,0,electricity_maps_api,True,2026-03-25T19:00:00.000Z
CA-ON,CA-ON,,89,85,39,electricity_maps_api,True,2026-03-25T19:00:00.000Z
CA-PE,CA-PE,,21,98,100,electricity_maps_api,True,2026-03-25T19:00:00.000Z
CA-QC,CA-QC,,34,99,82,electricity_maps_api,True,2026-03-25T19:00:00.000Z
CA-SK,CA-SK,,446,32,16,electricity_maps_api,True,2026-03-25T19:00:00.000Z
CA-YT,CA-YT,,158,63,68,electricity_maps_api,True,2026-03-25T19:00:00.000Z
CH,CH,,57,96,57,electricity_maps_api,True,2026-03-25T19:00:00.000Z
CL-SEN,CL-SEN,,141,80,90,electricity_maps_api,True,2026-03-25T19:00:00.000Z
DE,DE,,234,82,90,electricity_maps_api,True,2026-03-25T19:00:00.000Z
DK,DK,,52,96,88,electricity_maps_api,True,2026-03-25T19:00:00.000Z
DK-BHM,DK-BHM,,82,100,77,electricity_maps_api,True,2026-03-25T19:00:00.000Z
DK-DK1,DK-DK1,,52,96,88,electricity_maps_api,True,2026-03-25T19:00:00.000Z
DK-DK2,DK-DK2,,75,99,99,electricity_maps_api,True,2026-03-25T19:00:00.000Z
ES,ES,,129,80,64,electricity_maps_api,True,2026-03-25T19:00:00.000Z
ES-CE,ES-CE,,518,0,0,electricity_maps_api,True,2026-03-25T19:00:00.000Z
ES-CN-FV,ES-CN-FV,,715,19,17,electricity_maps_api,True,2026-03-25T19:00:00.000Z
ES-CN-GC,ES-CN-GC,,512,26,24,electricity_maps_api,True,2026-03-25T19:00:00.000Z
ES-CN-HI,ES-CN-HI,,260,63,68,electricity_maps_api,True,2026-03-25T19:00:00.000Z
ES-CN-IG,ES-CN-IG,,680,1,6,electricity_maps_api,True,2026-03-25T19:00:00.000Z
ES-CN-LP,ES-CN-LP,,658,3,8,electricity_maps_api,True,2026-03-25T19:00:00.000Z
ES-CN-LZ,ES-CN-LZ,,743,8,7,electricity_maps_api,True,2026-03-25T19:00:00.000Z
ES-CN-TE,ES-CN-TE,,518,25,24,electricity_maps_api,True,2026-03-25T19:00:00.000Z
ES-IB-FO,ES-IB-FO,,427,21,14,electricity_maps_api,True,2026-03-25T19:00:00.000Z
ES-IB-IZ,ES-IB-IZ,,427,32,13,electricity_maps_api,True,2026-03-25T19:00:00.000Z
ES-IB-MA,ES-IB-MA,,366,46,24,electricity_maps_api,True,2026-03-25T19:00:00.000Z
ES-IB-ME,ES-IB-ME,,897,3,2,electricity_maps_api,True,2026-03-25T19:00:00.000Z
ES-ML,ES-ML,,493,0,8,electricity_maps_api,True,2026-03-25T19:00:00.000Z
FI,FI,,57,98,81,electricity_maps_api,True,2026-03-25T19:00:00.000Z
FR,FR,,33,96,27,electricity_maps_api,True,2026-03-25T19:00:00.000Z
FR-COR,FR-COR,,487,58,45,electricity_maps_api,True,2026-03-25T19:00:00.000Z
GB,GB,,124,80,80,electricity_maps_api,True,2026-03-25T19:00:00.000Z
GB-NIR,GB-NIR,,166,64,49,electricity_maps_api,True,2026-03-25T19:00:00.000Z
GB-ORK,GB-ORK,,10,100,84,electricity_maps_api,True,2026-03-25T19:00:00.000Z
IE,IE,,265,68,71,electricity_maps_api,True,2026-03-25T19:00:00.000Z
IN-EA,IN-EA,,625,0,3,electricity_maps_api,True,2026-03-25T19:00:00.000Z
IN-NE,IN-NE,,266,44,37,electricity_maps_api,True,2026-03-25T19:00:00.000Z
IN-NO,IN-NO,,510,16,14,electricity_maps_api,True,2026-03-25T19:00:00.000Z
IN-SO,IN-SO,,498,18,14,electricity_maps_api,True,2026-03-25T19:00:00.000Z
IN-WE,IN-WE,,564,7,8,electricity_maps_api,True,2026-03-25T19:00:00.000Z
IT,IT,,240,46,29,electricity_maps_api,True,2026-03-25T19:00:00.000Z
IT-CNO,IT-CNO,,234,56,39,electricity_maps_api,True,2026-03-25T19:00:00.000Z
IT-CSO,IT-CSO,,301,38,39,electricity_maps_api,True,2026-03-25T19:00:00.000Z
IT-NO,IT-NO,,240,46,29,electricity_maps_api,True,2026-03-25T19:00:00.000Z
IT-SAR,IT-SAR,,527,27,28,electricity_maps_api,True,2026-03-25T19:00:00.000Z
IT-SIC,IT-SIC,,222,54,47,electricity_maps_api,True,2026-03-25T19:00:00.000Z
IT-SO,IT-SO,,244,60,47,electricity_maps_api,True,2026-03-25T19:00:00.000Z
JP-CB,JP-CB,,509,35,15,electricity_maps_api,True,2026-03-25T19:00:00.000Z
JP-CG,JP-CG,,483,18,11,electricity_maps_api,True,2026-03-25T19:00:00.000Z
JP-HKD,JP-HKD,,471,33,19,electricity_maps_api,True,2026-03-25T19:00:00.000Z
JP-HR,JP-HR,,447,36,21,electricity_maps_api,True,2026-03-25T19:00:00.000Z
JP-KN,JP-KN,,377,32,13,electricity_maps_api,True,2026-03-25T19:00:00.000Z
JP-KY,JP-KY,,333,53,11,electricity_maps_api,True,2026-03-25T19:00:00.000Z
JP-ON,JP-ON,,497,27,6,electricity_maps_api,True,2026-03-25T19:00:00.000Z
JP-SK,JP-SK,,444,46,4,electricity_maps_api,True,2026-03-25T19:00:00.000Z
JP-TH,JP-TH,,484,27,20,electricity_maps_api,True,2026-03-25T19:00:00.000Z
JP-TK,JP-TK,,537,31,9,electricity_maps_api,True,2026-03-25T19:00:00.000Z
KR,KR,,345,33,1,electricity_maps_api,True,2026-03-25T19:00:00.000Z
MY,MY,,612,0,2,electricity_maps_api,True,2026-03-25T19:00:00.000Z
MY-EM,MY-EM,,269,42,49,electricity_maps_api,True,2026-03-25T19:00:00.000Z
MY-WM,MY-WM,,612,0,2,electricity_maps_api,True,2026-03-25T19:00:00.000Z
NL,NL,,263,56,52,electricity_maps_api,True,2026-03-25T19:00:00.000Z
NO,NO,,21,100,90,electricity_maps_api,True,2026-03-25T19:00:00.000Z
NO-NO1,NO-NO1,,21,100,90,electricity_maps_api,True,2026-03-25T19:00:00.000Z
NO-NO2,NO-NO2,,34,97,100,electricity_maps_api,True,2026-03-25T19:00:00.000Z
NO-NO3,NO-NO3,,30,98,82,electricity_maps_api,True,2026-03-25T19:00:00.000Z
NO-NO4,NO-NO4,,43,96,100,electricity_maps_api,True,2026-03-25T19:00:00.000Z
NO-NO5,NO-NO5,,22,100,100,electricity_maps_api,True,2026-03-25T19:00:00.000Z
PL,PL,,590,36,43,electricity_maps_api,True,2026-03-25T19:00:00.000Z
PT,PT,,128,78,68,electricity_maps_api,True,2026-03-25T19:00:00.000Z
PT-MA,PT-MA,,437,37,44,electricity_maps_api,True,2026-03-25T19:00:00.000Z
SE,SE,,25,100,87,electricity_maps_api,True,2026-03-25T19:00:00.000Z
SE-SE1,SE-SE1,,29,98,62,electricity_maps_api,True,2026-03-25T19:00:00.000Z
SE-SE2,SE-SE2,,20,100,95,electricity_maps_api,True,2026-03-25T19:00:00.000Z
SE-SE3,SE-SE3,,17,100,76,electricity_maps_api,True,2026-03-25T19:00:00.000Z
SE-SE4,SE-SE4,,24,100,72,electricity_maps_api,True,2026-03-25T19:00:00.000Z
SG,SG,,447,0,3,electricity_maps_api,True,2026-03-25T19:00:00.000Z
US-CAL-BANC,US-CAL-BANC,,158,67,60,electricity_maps_api,True,2026-03-25T19:00:00.000Z
US-CAL-CISO,US-CAL-CISO,,58,93,100,electricity_maps_api,True,2026-03-25T19:00:00.000Z
US-CAL-IID,US-CAL-IID,,64,96,100,electricity_maps_api,True,2026-03-25T19:00:00.000Z
US-CAL-LDWP,US-CAL-LDWP,,130,84,76,electricity_maps_api,True,2026-03-25T19:00:00.000Z
US-CAL-TIDC,US-CAL-TIDC,,174,69,66,electricity_maps_api,True,2026-03-25T19:00:00.000Z
US-MIDA-PJM,US-MIDA-PJM,,310,39,16,electricity_maps_api,True,2026-03-25T19:00:00.000Z
US-MIDW-AECI,US-MIDW-AECI,,477,28,24,electricity_maps_api,True,2026-03-25T19:00:00.000Z
US-MIDW-LGEE,US-MIDW-LGEE,,679,24,4,electricity_maps_api,True,2026-03-25T19:00:00.000Z
US-MIDW-MISO,US-MIDW-MISO,,377,43,31,electricity_maps_api,True,2026-03-25T19:00:00.000Z
US-NW-AVA,US-NW-AVA,,105,86,88,electricity_maps_api,True,2026-03-25T19:00:00.000Z
US-NW-BPAT,US-NW-BPAT,,39,96,69,electricity_maps_api,True,2026-03-25T19:00:00.000Z
US-NW-CHPD,US-NW-CHPD,,22,100,90,electricity_maps_api,True,2026-03-25T19:00:00.000Z
US-NW-DOPD,US-NW-DOPD,,22,100,77,electricity_maps_api,True,2026-03-25T19:00:00.000Z
US-NW-GCPD,US-NW-GCPD,,25,99,85,electricity_maps_api,True,2026-03-25T19:00:00.000Z
US-NW-GRID,US-NW-GRID,,294,37,39,electricity_maps_api,True,2026-03-25T19:00:00.000Z
US-NW-IPCO,US-NW-IPCO,,126,88,100,electricity_maps_api,True,2026-03-25T19:00:00.000Z
US-NW-NEVP,US-NW-NEVP,,213,65,77,electricity_maps_api,True,2026-03-25T19:00:00.000Z
US-NW-NWMT,US-NW-NWMT,,321,73,73,electricity_maps_api,True,2026-03-25T19:00:00.000Z
US-NW-PACE,US-NW-PACE,,203,82,83,electricity_maps_api,True,2026-03-25T19:00:00.000Z
US-NW-PACW,US-NW-PACW,,166,71,71,electricity_maps_api,True,2026-03-25T19:00:00.000Z
US-NW-PGE,US-NW-PGE,,38,97,76,electricity_maps_api,True,2026-03-25T19:00:00.000Z
US-NW-PSCO,US-NW-PSCO,,329,55,51,electricity_maps_api,True,2026-03-25T19:00:00.000Z
US-NW-PSEI,US-NW-PSEI,,52,94,94,electricity_maps_api,True,2026-03-25T19:00:00.000Z
US-NW-SCL,US-NW-SCL,,30,98,73,electricity_maps_api,True,2026-03-25T19:00:00.000Z
US-NW-TPWR,US-NW-TPWR,,25,99,75,electricity_maps_api,True,2026-03-25T19:00:00.000Z
US-NW-WACM,US-NW-WACM,,516,43,36,electricity_maps_api,True,2026-03-25T19:00:00.000Z
US-NW-WAUW,US-NW-WAUW,,211,82,70,electricity_maps_api,True,2026-03-25T19:00:00.000Z
US-NY-NYIS,US-NY-NYIS,,277,56,29,electricity_maps_api,True,2026-03-25T19:00:00.000Z
US-TEX-ERCO,US-TEX-ERCO,,181,79,62,electricity_maps_api,True,2026-03-25T19:00:00.000Z
